"org.clojure/math.combinatorics","0.1.6","Eclipse Public License 1.0"
"joda-time","2.10","Apache 2"
"io.netty/netty-buffer","4.1.63.Final","Apache License, Version 2.0"
"io.confluent/kafka-schema-registry-client","6.1.1","Apache License 2.0"
"org.nrepl/incomplete","0.1.0","EPL-2.0 OR GPL-2.0-or-later WITH Classpath-exception-2.0"
"io.aleph/dirigiste","0.1.5","MIT License"
"com.fasterxml.jackson.core/jackson-annotations","2.10.5","The Apache Software License, Version 2.0"
"org.xerial.snappy/snappy-java","1.1.8.1","unknown"
"borkdude/dynaload","0.2.2","Eclipse Public License 1.0"
"org.apache.commons/commons-compress","1.19","Apache License, Version 2.0"
"io.netty/netty-handler","4.1.63.Final","Apache License, Version 2.0"
"com.sun.activation/jakarta.activation","1.2.2","EDL 1.0"
"io.confluent/kafka-avro-serializer","6.1.1","Apache License 2.0"
"com.github.luben/zstd-jni","1.4.9-1","unknown"
"metosin/malli","0.5.1","unknown"
"io.netty/netty-transport-native-unix-common","4.1.63.Final","Apache License, Version 2.0"
"clj-commons/iapetos","0.1.11","MIT License"
"com.github.jbellis/jamm","0.4.0","The Apache Software License, Version 2.0"
"org.slf4j/slf4j-api","1.7.30","MIT License"
"org.openjdk.jmh/jmh-generator-reflection","1.24","GNU General Public License (GPL), version 2, with the Classpath exception"
"criterium","0.4.6","Eclipse Public License"
"javax.xml.bind/jaxb-api","2.3.0","CDDL 1.1"
"jmh-clojure","0.4.0","Eclipse Public License"
"aleph","0.4.6","MIT License"
"org.rocksdb/rocksdbjni","5.18.4","unknown"
"com.fasterxml.jackson.datatype/jackson-datatype-jdk8","2.10.5","The Apache Software License, Version 2.0"
"org.clojure/core.cache","0.7.2","Eclipse Public License 1.0"
"jakarta.annotation/jakarta.annotation-api","1.3.5","EPL 2.0"
"piotr-yuxuan/closeable-map","0.35.0","European Union Public License 1.2 or later"
"org.clojure/data.fressian","0.2.1","Eclipse Public License 1.0"
"com.fasterxml.jackson.core/jackson-databind","2.10.5.1","The Apache Software License, Version 2.0"
"io.netty/netty-codec-socks","4.1.63.Final","Apache License, Version 2.0"
"com.brunobonacci/mulog-prometheus","0.8.0","Apache License 2.0"
"fundingcircle/jackdaw","0.8.0","unknown"
"org.apache.kafka/connect-api","2.8.0","Apache License"
"org.apache.kafka/kafka-clients","2.8.0","Apache License"
"org.glassfish.hk2/osgi-resource-locator","1.0.3","EPL 2.0"
"org.clojure/data.csv","1.0.0","Eclipse Public License 1.0"
"com.widdindustries/tools.jvm","0.1.2","unknown"
"jakarta.ws.rs/jakarta.ws.rs-api","2.1.6","EPL 2.0"
"io.prometheus/simpleclient_pushgateway","0.9.0","The Apache Software License, Version 2.0"
"io.netty/netty-codec-dns","4.1.63.Final","Apache License, Version 2.0"
